h	k	q	I	sigma
1 -2 0 0 100000
1	-1	0.111	1040.6	24.4
1	0	0.109	181391.2	2697.9
1	1	0.122	290.0	12.1
1  2 0 0 100000
1	3	0.182	4.5	1.5
1  4 0 0 100000
2 -3 0 0 100000
2	-2	0.224	45.0	4.1
2	-1	0.217	1639.6	48.6
2	0	0.218	7495.6	234.7
2	1	0.228	478.2	12.9
2	2	0.246	96.0	5.7
2	3	0.270	23.1	2.8
2	4	0.298	7.0	1.6
2	5	0.329	2.2	0.9
2	6	0.363	1.0	0.6
2  7 0 0 100000 
3 -3 0 0 100000
3	-2	0.326	234.1	8.5
3	-1	0.324	924.9	16.9
3	0	0.326	1051.7	16.8
3	1	0.335	0 100000
3	2	0.350	24.0	2.7
3	3	0.368	29.0	2.9
3	4	0.392	20.3	2.4
3	5	0.418	8.9	1.6
3	6	0.446	2.6	0.9
3  7 0 0 100000
4 -4 0 0 100000
4	-3	0.437	99.4	5.3
4	-2	0.432	522.2	12.0
4	-1	0.431	297.0	9.1
4	0	0.435	1194.2	17.3
4	1	0.443	31.3	2.9
4	2	0.456	30.1	2.9
4	3	0.000	0 100000
4	4	0.493	1.4	0.6
4	5	0.514	2.2	0.8
4	6	0.539	0.7	0.4
4  7 0 0 100000
5 -4 0 0 100000
5	-3	0.541	57.0	3.9
5	-2	0.539	95.9	5.0
5	-1	0.540	41.9	3.3
5	0	0.544	155.3	6.1
5	1	0.551	33.1	3.0
6	-4	0.652	7.4	1.4
6	-3	0.648	10.1	1.6
6	-2	0.646	6.5	1.3
6	-1	0.648	10.5	1.6
6	0	0.653	35.6	2.9
6	1	0.660	13.2	1.8
6	2	0.671	0	100000
6	3	0.684	3.8	1.0
6	4	0.700	2.7	0.8
7	-4	0.757	24.8	2.5
7	-3	0.754	22.3	2.3
7	-2	0.754	9.3	1.5
7	-1	0.756	13.6	1.8
7	0	0.760	20.6	2.2
7  1 0 0 100000
8 -1 0 0 100000
8  0 0 0 100000
8  1 0 0 100000
9 -6 0 0 100000 
9	-5	0.975	9.7	1.5
9	-4	0.973	10.2	1.6
9	-3	0.972	0	100000
9	-2	0.973	6.1	1.2
9	-1	0.976	0	100000
9	0	0.981	9.6	1.5
9  1 0 0 100000
