h	k	q	I	sigma
1	-1	0.111	35081.5	4604.4
1	0	0.109	66942.7	692
1	1	0.122	12069.7	1624.8
1	3	0.182	549.4	28.9
2	-2	0.224	2135.9	163.6
2	-1	0.217	40526.7	452.8
2	0	0.218	5861.8	100.3
2	1	0.228	10820.2	201.9
2	2	0.246	4246.7	115.8
2	3	0.270	1484.5	11.3
2	4	0.298	627.5	29.5
2	5	0.329	225.8	60.8
2	6	0.363	120.5	20.1
3	-2	0.326	7331.1	385.8
3	-1	0.324	14724.8	273.6
3	0	0.326	1146.0	86.7
3	1	0.335	0		10000       	
3	2	0.350	703.5	36.4
3	3	0.368	1342.2	30.2
3	4	0.392	1229.6	30.3
3	5	0.418	665.1	16.0
3	6	0.446	251.2	31.4
4	-3	0.437	3664.9	212.5
4	-2	0.432	12724.0	328.0
4	-1	0.431	3356.4	287.4
4	0	0.435	1849.0	22.4
4	1	0.443	313.1	58.7
4	2	0.456	656.6	38.2
4	3	0.000	0		10000	
4	4	0.493	127.0	12.4
4	5	0.514	258.9	11.4
4	6	0.539	275.3	49.6
5	-3	0.541	1755.3	136.6
5	-2	0.539	1841.5	52.2
5	-1	0.540	398.2	21.4
5	0	0.544	307.5	4.7
5	1	0.551	286.4	16.2
6	-4	0.652	276.6	17.4
6	-3	0.648	235.0	14.5
6	-2	0.646	102.9	18.7
6	-1	0.648	93.5	15.6
6	0	0.653	90.1	6.5
6	1	0.660	96.5	7.8
6	2	0.671	0		10000	
6	3	0.684	85.0	4.4
6	4	0.700	100.4	5.8
7	-4	0.757	709.0	19.5
7	-3	0.754	480.6	23.5
7	-2	0.754	124.3	62.1
7	-1	0.756	84.2	9.5
7	0	0.760	58.4	2.8
9	-5	0.975	264.8	49.6
9	-4	0.973	223.6	39.7
9	-3	0.972	0		10000	
9	-2	0.973	65.0	18.8
9	-1	0.976	0		10000	
9	0	0.981	34.0	20.0
