# Trucated data set, to be compared against Wack & Webb data.
h	k	q	I	sigma
1  -1	0.111	53060.7	4604.4
1	0	0.109	71177.9	692
1	1	0.122	13230.2	1624.8
1   2   0       0       110
1	3	0.182	549.4	28.9
2  -2	0.224	2299.5	163.6
2  -1	0.217	41160.6	452.8
2	0	0.218	5882.5	100.3
2	1	0.228	11102.8	201.9
2	2	0.246	4324.0	115.8
2	3	0.270	1524.0	11.3
2	4	0.298	605.4	29.5
3  -2	0.326	7845.5	385.8
3  -1	0.324	14985.9	273.6
3	0	0.326	1234.3	86.7
3	1	0	    0	    359
3	2	0.350	737.6	36.4
3	3	0.368	1312.0	30.2
3	4	0.392	1199.3	30.3
