# absorption corrected, but not Lorentz corrected
# D = 57.8, lambda_r = 145.1, gamma = 98.2
h k q I sig
1 -1 0.111 28471 75
1 0 0.109 5093465 847
1 1 0.122 8607 39
1 3 0.182 163 5
2 -2 0.224 1490 15
2 -1 0.217 51943 86
2 0 0.218 242857 170
2 1 0.228 15718 47
2 2 0.246 3222 21
2 3 0.270 750 10
2 4 0.298 211 5
2 5 0.329 81 3
3 -2 0.326 7922 32
3 -1 0.324 31299 64
3 0 0.326 35591 64
3 1 0.335 813 10
3 2 0.350 831 10
3 3 0.368 979 11
3 4 0.392 661 9
3 5 0.418 218 5
4 -3 0.437 3531 21
4 -2 0.432 17805 47
4 -1 0.431 10122 35
4 0 0.435 42593 68
4 1 0.443 1256 12
4 2 0.456 951 11
4 4 0.493 51 2
4 5 0.514 77 3
4 6 0.539 24 2
