# Wack & Webb data
h  k       q   I sigma
1 -1 0.11087    3696.6   60.8
1  0 0.10845 10000.0   100
1  1 0.12306     723.6   26.9
1  3 0.18445     57.8    7.6 
2 -2 0.22207     228   15.1
2 -1 0.21464    5069.4   71.2
2  0 0.21712   1576.1  39.7
2  1 0.22760    1149.2   33.9
2  2 0.24628    515.3   22.7
2  3 0.27123    201.6   14.2
2  4 0.30077    60.8  7.8
3 -2 0.32472   858.5   29.3
3 -1 0.32183    1953.6  44.2
3  0 0.32530    144   12
3  2 0.34996    110.3   10.5
3  3 0.36974    222   14.9
3  4 0.39389    100   10
