h  k        q        I   sigma
1 -1  0.11087   3700.3   60.83
1  0  0.10845  10000.0  100.00
1  1  0.12306    721.5   26.86
1  3  0.18445     57.9    7.61
2 -2  0.22207    226.8   15.06
2 -1  0.21464   5072.3   71.22
2  0  0.21712   1575.3   39.69
2  1  0.22760   1149.9   33.91
2  2  0.24628    515.3   22.70
2  3  0.27123    200.5   14.16
2  4  0.30077     60.5    7.78
3 -2  0.32472    860.2   29.33
3 -1  0.32183   1951.9   44.18
3  0  0.32530    144.7   12.03
3  2  0.34996    109.8   10.48
3  3  0.36974    221.1   14.87
3  4  0.39389     99.8    9.99
