# These are uncorrected intensity. Should be run by ripintensity.py
h  k       q            I        sigma 
1 -1  0.1129     54.94194     5.494194
1  0  0.1106  10000.00000   100.000000
1  1  0.1241     17.17441     1.717441
1  2  0.1511      0.07727     0.007727
1  3  0.1837      0.26288     0.026288

2 -2  0.2245      2.90792     0.290792
2 -1  0.2171    127.74609     1.774609
2  0  0.2190    657.84683     5.784683
2  1  0.2294     46.00073     4.600073
2  2  0.2472      8.92503     0.892503
2  3  0.2708      2.08763     0.208763
2  4  0.2994      0.85215     0.085215

3 -2  0.3269     24.          2.400000
3 -1  0.3243     79.17        7.917000
3  0  0.3272     92.90        9.290000
3  2  0.3506      2.677       0.267700
3  3  0.3694      3.462       3.462000
3  4  0.3922      2.947       2.947000
3  5  0.4148      1.609       1.609000
3  6  0.4478      0.7811      0.078110

4 -3  0.4372     14.03        3.746
4 -2  0.4324     57.33        7.572
4 -1  0.4320     32.48        5.699
4  0  0.4356    129.6        11.38
4  2  0.4567      2.238       1.496
4  4  0.4932      0.5411      0.7356
