# These are uncorrected intensity. Should be run by ripintensity.py
h  k       q            I        sigma 
1 -1  0.1109     54.94194     0.074546
1  0  0.1085  20000.00000    20.610891
1  1  0.1222     17.17441     0.041679
1  2  0.1496      0.07727     0.002796
1  3  0.1825      0.26288     0.005156

2 -2  0.2235      2.90792     0.017150
2 -1  0.2161    127.74609     0.880484
2  0  0.2179   1300.84683     1.998067
2  1  0.2284     46.00073     0.068211
2  2  0.2463      8.92503     0.030045
2  3  0.2699      2.08763     0.014531
2  4  0.2986      0.85215     0.009284

3 -2  0.3262     24.05227     0.049323
3 -1  0.3236     79.16616     0.089483
3  0  0.3265     92.90165     0.096936
3  2  0.3500      2.67731     0.016456
3  3  0.3688      3.46219     0.018713
3  4  0.3916      2.94736     0.017266
3  5  0.4179      1.60922     0.012758
3  6  0.4473      0.78114     0.008889

4 -3  0.4367     14.02881     0.037669
4 -2  0.4319     57.32896     0.076148
4 -1  0.4315     32.47765     0.057314
4  0  0.4351    129.56669     0.114477
4  2  0.4562      2.23834     0.015046
4  4  0.4927      0.54113     0.007398
4  5  0.5144      0.69942     0.008411
4  6  0.5395      0.53759     0.007374

5 -3  0.5411      7.13578     0.026865
5 -2  0.5387     11.03492     0.033408
5 -1  0.5401      7.00631     0.026621
5  0  0.5437     19.10628     0.043960
5  1  0.5514      4.08423     0.020325

6 -4  0.6523      1.15305     0.010799
6 -3  0.6479      1.29364     0.011439
6 -2  0.6465      0.93448     0.009722
6  0  0.6528      4.54444     0.021439
6  3  0.6841      1.21374     0.011080
6  4  0.7003      1.22588     0.011135
