# (1,0) and (2,0) were multiplied by 1.5. Other peaks are the same as those
# in ripple_082-085.dat
h  k       q    |F|
1 -1  0.1129   83.4
1  0  0.1106  150.0
1  1  0.1241   43.8
1  2  0.1511    4.1
1  3  0.1837    8.9
2 -2  0.2245   19.3
2 -1  0.2171   89.5
2  0  0.2190   54.2
2  1  0.2294   51.6
2  2  0.2472   31.8
2  3  0.2708   18.5
2  4  0.2994   13.5
3 -2  0.3269   45.0
3 -1  0.3243   57.0
3  0  0.3272   16.6
3  2  0.3506   14.4
3  3  0.3694   19.8
3  4  0.3922   20.9
3  5  0.4148   17.1
3  6  0.4478   13.0
4  0  0.4356   22.6
