h  k      qr      qz       q    |F|
1 -1  0.0434  0.1043  0.1129   83.4
1  0  0.0000  0.1106  0.1106  100.0
1  1  0.0429  0.1164  0.1241   43.8
1  2  0.0873  0.1233  0.1511    4.1
1  3  0.1297  0.1302  0.1837    8.9
2 -2  0.0873  0.2068  0.2245   19.3
2 -1  0.0439  0.2127  0.2171   89.5
2  0  0.0000  0.2190  0.2190   36.1
2  1  0.0429  0.2253  0.2294   51.6
2  2  0.0863  0.2317  0.2472   31.8
2  3  0.1291  0.2380  0.2708   18.5
2  4  0.1730  0.2443  0.2994   13.5
3 -2  0.0873  0.3151  0.3269   45.0
3 -1  0.0434  0.3214  0.3243   57.0
3  0  0.0000  0.3272  0.3272   16.6
3  2  0.0863  0.3398  0.3506   14.4
3  3  0.1291  0.3462  0.3694   19.8
3  4  0.1720  0.3525  0.3922   20.9
3  5  0.2153  0.3588  0.4148   17.1
3  6  0.2586  0.3656  0.4478   13.0
