x z ED
-145.0  0.0 -743.8
-144.0  0.3 -743.9
-143.0  0.5 -744.3
-142.0  0.8 -744.9
-141.0  1.0 -746.1
-140.0  1.3 -747.9
-139.0  1.6 -750.5
-138.0  1.9 -754.0
-137.0  2.1 -758.6
-136.0  2.3 -764.1
-135.0  2.6 -770.7
-134.0  2.8 -778.1
-133.0  3.0 -786.1
-132.0  3.2 -794.5
-131.0  3.5 -803.1
-130.0  3.7 -811.8
-129.0  3.9 -820.3
-128.0  4.1 -828.4
-127.0  4.4 -836.0
-126.0  4.6 -843.0
-125.0  4.8 -849.4
-124.0  4.9 -855.3
-123.0  5.1 -860.5
-122.0  5.3 -865.3
-121.0  5.5 -869.5
-120.0  5.7 -873.2
-119.0  5.9 -876.4
-118.0  6.1 -879.0
-117.0  6.3 -880.9
-116.0  6.4 -882.1
-115.0  6.7 -882.5
-114.0  6.8 -881.6
-113.0  7.0 -879.7
-112.0  7.1 -876.3
-111.0  7.2 -871.3
-110.0  7.4 -864.8
-109.0  7.5 -856.4
-108.0  7.6 -846.0
-107.0  7.7 -833.6
-106.0  7.8 -819.0
-105.0  7.9 -802.3
-104.0  8.1 -783.4
-103.0  8.2 -762.4
-102.0  8.2 -739.6
-101.0  8.3 -714.9
-100.0  8.4 -688.7
-99.0  8.5 -661.3
-98.0  8.5 -632.9
-97.0  8.6 -604.1
-96.0  8.7 -575.0
-95.0  8.7 -546.4
-94.0  8.8 -518.3
-93.0  8.8 -491.3
-92.0  8.9 -465.6
-91.0  8.9 -441.5
-90.0  4.5 -427.5
-89.0  4.3 -427.0
-88.0  4.2 -426.0
-87.0  4.0 -424.3
-86.0  3.9 -421.7
-85.0  3.9 -418.1
-84.0  3.8 -413.4
-83.0  3.6 -407.6
-82.0  3.5 -400.6
-81.0  3.5 -392.3
-80.0  3.4 -382.7
-79.0  3.3 -371.7
-78.0  3.3 -359.2
-77.0  3.2 -345.3
-76.0  3.2 -330.1
-75.0  3.1 -313.6
-74.0  3.0 -296.0
-73.0  2.8 -277.5
-72.0 -2.8 -277.5
-71.0 -3.0 -296.0
-70.0 -3.1 -313.6
-69.0 -3.2 -330.1
-68.0 -3.2 -345.3
-67.0 -3.3 -359.2
-66.0 -3.3 -371.7
-65.0 -3.4 -382.7
-64.0 -3.5 -392.3
-63.0 -3.5 -400.6
-62.0 -3.6 -407.6
-61.0 -3.8 -413.4
-60.0 -3.9 -418.1
-59.0 -3.9 -421.7
-58.0 -4.0 -424.3
-57.0 -4.2 -426.0
-56.0 -4.3 -427.0
-55.0 -4.5 -427.5
-54.0 -8.9 -441.5
-53.0 -8.9 -465.6
-52.0 -8.8 -491.3
-51.0 -8.8 -518.3
-50.0 -8.7 -546.4
-49.0 -8.7 -575.0
-48.0 -8.6 -604.1
-47.0 -8.5 -632.9
-46.0 -8.5 -661.3
-45.0 -8.4 -688.7
-44.0 -8.3 -714.9
-43.0 -8.2 -739.6
-42.0 -8.2 -762.4
-41.0 -8.1 -783.4
-40.0 -7.9 -802.3
-39.0 -7.8 -819.0
-38.0 -7.7 -833.6
-37.0 -7.6 -846.0
-36.0 -7.5 -856.4
-35.0 -7.4 -864.8
-34.0 -7.2 -871.3
-33.0 -7.1 -876.3
-32.0 -7.0 -879.7
-31.0 -6.8 -881.6
-30.0 -6.7 -882.5
-29.0 -6.4 -882.1
-28.0 -6.3 -880.9
-27.0 -6.1 -879.0
-26.0 -5.9 -876.4
-25.0 -5.7 -873.2
-24.0 -5.5 -869.5
-23.0 -5.3 -865.3
-22.0 -5.1 -860.5
-21.0 -4.9 -855.3
-20.0 -4.8 -849.4
-19.0 -4.6 -843.0
-18.0 -4.4 -836.0
-17.0 -4.1 -828.4
-16.0 -3.9 -820.3
-15.0 -3.7 -811.8
-14.0 -3.5 -803.1
-13.0 -3.2 -794.5
-12.0 -3.0 -786.1
-11.0 -2.8 -778.1
-10.0 -2.6 -770.7
-9.0 -2.3 -764.1
-8.0 -2.1 -758.6
-7.0 -1.9 -754.0
-6.0 -1.6 -750.5
-5.0 -1.3 -747.9
-4.0 -1.0 -746.1
-3.0 -0.8 -744.9
-2.0 -0.5 -744.3
-1.0 -0.3 -743.9
 0.0  0.0 -743.8
 1.0  0.3 -743.9
 2.0  0.5 -744.3
 3.0  0.8 -744.9
 4.0  1.0 -746.1
 5.0  1.3 -747.9
 6.0  1.6 -750.5
 7.0  1.9 -754.0
 8.0  2.1 -758.6
 9.0  2.3 -764.1
 10.0  2.6 -770.7
 11.0  2.8 -778.1
 12.0  3.0 -786.1
 13.0  3.2 -794.5
 14.0  3.5 -803.1
 15.0  3.7 -811.8
 16.0  3.9 -820.3
 17.0  4.1 -828.4
 18.0  4.4 -836.0
 19.0  4.6 -843.0
 20.0  4.8 -849.4
 21.0  4.9 -855.3
 22.0  5.1 -860.5
 23.0  5.3 -865.3
 24.0  5.5 -869.5
 25.0  5.7 -873.2
 26.0  5.9 -876.4
 27.0  6.1 -879.0
 28.0  6.3 -880.9
 29.0  6.4 -882.1
 30.0  6.7 -882.5
 31.0  6.8 -881.6
 32.0  7.0 -879.7
 33.0  7.1 -876.3
 34.0  7.2 -871.3
 35.0  7.4 -864.8
 36.0  7.5 -856.4
 37.0  7.6 -846.0
 38.0  7.7 -833.6
 39.0  7.8 -819.0
 40.0  7.9 -802.3
 41.0  8.1 -783.4
 42.0  8.2 -762.4
 43.0  8.2 -739.6
 44.0  8.3 -714.9
 45.0  8.4 -688.7
 46.0  8.5 -661.3
 47.0  8.5 -632.9
 48.0  8.6 -604.1
 49.0  8.7 -575.0
 50.0  8.7 -546.4
 51.0  8.8 -518.3
 52.0  8.8 -491.3
 53.0  8.9 -465.6
 54.0  8.9 -441.5
 55.0  4.5 -427.5
 56.0  4.3 -427.0
 57.0  4.2 -426.0
 58.0  4.0 -424.3
 59.0  3.9 -421.7
 60.0  3.9 -418.1
 61.0  3.8 -413.4
 62.0  3.6 -407.6
 63.0  3.5 -400.6
 64.0  3.5 -392.3
 65.0  3.4 -382.7
 66.0  3.3 -371.7
 67.0  3.3 -359.2
 68.0  3.2 -345.3
 69.0  3.2 -330.1
 70.0  3.1 -313.6
 71.0  3.0 -296.0
 72.0  2.8 -277.5
 73.0 -2.8 -277.5
 74.0 -3.0 -296.0
 75.0 -3.1 -313.6
 76.0 -3.2 -330.1
 77.0 -3.2 -345.3
 78.0 -3.3 -359.2
 79.0 -3.3 -371.7
 80.0 -3.4 -382.7
 81.0 -3.5 -392.3
 82.0 -3.5 -400.6
 83.0 -3.6 -407.6
 84.0 -3.8 -413.4
 85.0 -3.9 -418.1
 86.0 -3.9 -421.7
 87.0 -4.0 -424.3
 88.0 -4.2 -426.0
 89.0 -4.3 -427.0
 90.0 -4.5 -427.5
 91.0 -8.9 -441.5
 92.0 -8.9 -465.6
 93.0 -8.8 -491.3
 94.0 -8.8 -518.3
 95.0 -8.7 -546.4
 96.0 -8.7 -575.0
 97.0 -8.6 -604.1
 98.0 -8.5 -632.9
 99.0 -8.5 -661.3
 100.0 -8.4 -688.7
 101.0 -8.3 -714.9
 102.0 -8.2 -739.6
 103.0 -8.2 -762.4
 104.0 -8.1 -783.4
 105.0 -7.9 -802.3
 106.0 -7.8 -819.0
 107.0 -7.7 -833.6
 108.0 -7.6 -846.0
 109.0 -7.5 -856.4
 110.0 -7.4 -864.8
 111.0 -7.2 -871.3
 112.0 -7.1 -876.3
 113.0 -7.0 -879.7
 114.0 -6.8 -881.6
 115.0 -6.7 -882.5
 116.0 -6.4 -882.1
 117.0 -6.3 -880.9
 118.0 -6.1 -879.0
 119.0 -5.9 -876.4
 120.0 -5.7 -873.2
 121.0 -5.5 -869.5
 122.0 -5.3 -865.3
 123.0 -5.1 -860.5
 124.0 -4.9 -855.3
 125.0 -4.8 -849.4
 126.0 -4.6 -843.0
 127.0 -4.4 -836.0
 128.0 -4.1 -828.4
 129.0 -3.9 -820.3
 130.0 -3.7 -811.8
 131.0 -3.5 -803.1
 132.0 -3.2 -794.5
 133.0 -3.0 -786.1
 134.0 -2.8 -778.1
 135.0 -2.6 -770.7
 136.0 -2.3 -764.1
 137.0 -2.1 -758.6
 138.0 -1.9 -754.0
 139.0 -1.6 -750.5
 140.0 -1.3 -747.9
 141.0 -1.0 -746.1
 142.0 -0.8 -744.9
 143.0 -0.5 -744.3
 144.0 -0.3 -743.9
 145.0  0.0 -743.8
